number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
20,0.8329566854990583,2025-12-06 16:10:49.704021,2025-12-06 16:10:51.531086,0 days 00:00:01.827065,0.9557979800195677,0.1655087867201587,3,205,0.9867103820579328,COMPLETE
21,0.8340866290018832,2025-12-06 16:10:51.531188,2025-12-06 16:10:53.379570,0 days 00:00:01.848382,0.9759977311726319,0.16484493734382255,3,216,0.9944048967374889,COMPLETE
22,0.8216760828625236,2025-12-06 16:10:53.379668,2025-12-06 16:10:55.058576,0 days 00:00:01.678908,0.9901367843194528,0.16242712243743151,4,156,0.9454943292842433,COMPLETE
23,0.8262335216572504,2025-12-06 16:10:55.058675,2025-12-06 16:10:57.133427,0 days 00:00:02.074752,0.9366397399073989,0.1844457115908802,3,222,0.995386891362577,COMPLETE
24,0.8138418079096046,2025-12-06 16:10:57.133521,2025-12-06 16:10:59.276249,0 days 00:00:02.142728,0.9493847593051493,0.1306350300639278,4,195,0.8998426187376071,COMPLETE
25,0.8149529190207158,2025-12-06 16:10:59.276344,2025-12-06 16:11:02.253739,0 days 00:00:02.977395,0.8608778290003841,0.193639698641757,6,230,0.9407785493208892,COMPLETE
26,0.8351412429378531,2025-12-06 16:11:02.253819,2025-12-06 16:11:03.735035,0 days 00:00:01.481216,0.9366639322611678,0.1398834171307789,3,163,0.960039684600559,COMPLETE
27,0.8205461393596988,2025-12-06 16:11:03.735135,2025-12-06 16:11:05.417209,0 days 00:00:01.682074,0.9050545504058731,0.13763442235622225,4,155,0.9537014761579677,COMPLETE
28,0.8183427495291903,2025-12-06 16:11:05.417284,2025-12-06 16:11:07.074036,0 days 00:00:01.656752,0.8195179191643425,0.09889821559018205,3,187,0.7784841293061107,COMPLETE
29,0.8261958568738231,2025-12-06 16:11:07.074133,2025-12-06 16:11:09.714934,0 days 00:00:02.640801,0.9130272999250503,0.2610591119568585,9,162,0.8786782585260074,COMPLETE
30,0.8205649717514125,2025-12-06 16:11:09.715033,2025-12-06 16:11:11.506828,0 days 00:00:01.791795,0.768188067945459,0.14572677586888108,6,126,0.9257188213724594,COMPLETE
31,0.8296045197740114,2025-12-06 16:11:11.506932,2025-12-06 16:11:13.244522,0 days 00:00:01.737590,0.9605379872894813,0.1728406683031499,3,198,0.9991304892728232,COMPLETE
32,0.8161205273069679,2025-12-06 16:11:13.244621,2025-12-06 16:11:15.016654,0 days 00:00:01.772033,0.9985998113493882,0.2049204995063673,4,168,0.9673287321269588,COMPLETE
33,0.8329190207156307,2025-12-06 16:11:15.016756,2025-12-06 16:11:16.810865,0 days 00:00:01.794109,0.865545585658167,0.14831072107741794,3,214,0.9715812227969445,COMPLETE
34,0.8205461393596987,2025-12-06 16:11:16.810968,2025-12-06 16:11:19.181987,0 days 00:00:02.371019,0.9602133220610404,0.17753257292528618,4,231,0.9115271655880139,COMPLETE
35,0.8206026365348399,2025-12-06 16:11:19.182152,2025-12-06 16:11:21.047025,0 days 00:00:01.864873,0.8845910152368942,0.11851046694081656,5,146,0.8806602321557623,COMPLETE
36,0.8205649717514125,2025-12-06 16:11:21.047123,2025-12-06 16:11:22.354445,0 days 00:00:01.307322,0.8443680247033795,0.25371658434475464,4,118,0.9572618245011743,COMPLETE
37,0.8194161958568738,2025-12-06 16:11:22.354543,2025-12-06 16:11:24.071078,0 days 00:00:01.716535,0.929005144010907,0.2108217981071182,3,187,0.692453302760595,COMPLETE
38,0.8216949152542372,2025-12-06 16:11:24.071187,2025-12-06 16:11:26.755157,0 days 00:00:02.683970,0.6969562366958205,0.1551413342726574,4,275,0.9331810450323365,COMPLETE
39,0.8340866290018834,2025-12-06 16:11:26.755242,2025-12-06 16:11:28.315965,0 days 00:00:01.560723,0.97144470637556,0.22781314733062566,3,177,0.9763183000507006,COMPLETE
40,0.8093408662900189,2025-12-06 16:11:28.316065,2025-12-06 16:11:30.767416,0 days 00:00:02.451351,0.6439990692997937,0.229098885609816,8,177,0.5018379810561602,COMPLETE
41,0.8296045197740114,2025-12-06 16:11:30.767519,2025-12-06 16:11:32.503136,0 days 00:00:01.735617,0.9682297120638238,0.19765353268548688,3,198,0.9774651385580638,COMPLETE
42,0.8339736346516008,2025-12-06 16:11:32.503209,2025-12-06 16:11:33.850862,0 days 00:00:01.347653,0.9337933107225105,0.2737294405699627,3,142,0.9165885452328819,COMPLETE
43,0.8317702448210921,2025-12-06 16:11:33.850960,2025-12-06 16:11:34.858858,0 days 00:00:01.007898,0.9265155509311527,0.2580743909162491,3,101,0.9174357587561606,COMPLETE
44,0.822843691148776,2025-12-06 16:11:34.858955,2025-12-06 16:11:36.119558,0 days 00:00:01.260603,0.8889538355116963,0.277242102427409,3,138,0.9436338068641645,COMPLETE
45,0.8138794726930321,2025-12-06 16:11:36.119647,2025-12-06 16:11:37.805037,0 days 00:00:01.685390,0.9893325657506391,0.2370607383870257,4,148,0.896216061591821,COMPLETE
46,0.810527306967985,2025-12-06 16:11:37.805148,2025-12-06 16:11:39.863466,0 days 00:00:02.058318,0.8412907210093064,0.2213677292250693,5,168,0.5485012724799314,COMPLETE
47,0.8116195856873823,2025-12-06 16:11:39.863565,2025-12-06 16:11:41.815056,0 days 00:00:01.951491,0.9372416656282442,0.27944406041864683,4,183,0.8649999950527089,COMPLETE
48,0.8339924670433145,2025-12-06 16:11:41.815128,2025-12-06 16:11:42.646263,0 days 00:00:00.831135,0.5506376328059139,0.2432085368498526,3,87,0.9610093455921193,COMPLETE
49,0.8183427495291903,2025-12-06 16:11:42.646359,2025-12-06 16:11:43.758151,0 days 00:00:01.111792,0.5630693851522446,0.24305455650388455,7,62,0.9700161985298553,COMPLETE
50,0.8361770244821093,2025-12-06 16:11:43.758247,2025-12-06 16:11:44.644640,0 days 00:00:00.886393,0.6125811857452224,0.08819932892879219,3,90,0.9580647743223769,COMPLETE
51,0.8316949152542372,2025-12-06 16:11:44.644738,2025-12-06 16:11:45.408297,0 days 00:00:00.763559,0.5378252426174498,0.11439602091565239,3,70,0.9997366124637029,COMPLETE
52,0.8328060263653485,2025-12-06 16:11:45.408394,2025-12-06 16:11:46.315043,0 days 00:00:00.906649,0.6152551095584605,0.08062805083468731,3,90,0.9618912167020841,COMPLETE
53,0.820527306967985,2025-12-06 16:11:46.315141,2025-12-06 16:11:47.368918,0 days 00:00:01.053777,0.5658313042767154,0.09022039592282116,4,86,0.9353156466977748,COMPLETE
54,0.8328060263653484,2025-12-06 16:11:47.369017,2025-12-06 16:11:48.325542,0 days 00:00:00.956525,0.508671336652739,0.0398924610982892,3,101,0.9773545206322924,COMPLETE
55,0.827231638418079,2025-12-06 16:11:48.325658,2025-12-06 16:11:48.978629,0 days 00:00:00.652971,0.6823129751922727,0.06174027151451365,3,55,0.6402349852556495,COMPLETE
56,0.8260640301318268,2025-12-06 16:11:48.978779,2025-12-06 16:11:50.221905,0 days 00:00:01.243126,0.5359453149173642,0.1343092242265596,4,115,0.7160938046728085,COMPLETE
57,0.8205084745762712,2025-12-06 16:11:50.221999,2025-12-06 16:11:51.273575,0 days 00:00:01.051576,0.6012695672802753,0.18462178973360338,5,75,0.9561799137916309,COMPLETE
58,0.8261958568738231,2025-12-06 16:11:51.273682,2025-12-06 16:11:53.091367,0 days 00:00:01.817685,0.5772694692754279,0.10466945773015904,3,235,0.9032687356166255,COMPLETE
59,0.8218079096045199,2025-12-06 16:11:53.091464,2025-12-06 16:11:55.116499,0 days 00:00:02.025035,0.7173601110958341,0.12000594661449684,4,213,0.9808516821574711,COMPLETE
60,0.8172128060263654,2025-12-06 16:11:55.116596,2025-12-06 16:11:56.912311,0 days 00:00:01.795715,0.6492618358071087,0.29926693691036327,3,221,0.8458211371209455,COMPLETE
61,0.8250094161958569,2025-12-06 16:11:56.912418,2025-12-06 16:11:57.892723,0 days 00:00:00.980305,0.9796028282573728,0.27201260158602963,3,94,0.9211203181062845,COMPLETE
62,0.8284557438794727,2025-12-06 16:11:57.892822,2025-12-06 16:11:59.584058,0 days 00:00:01.691236,0.7800188551948608,0.24812050448983342,3,171,0.9456700775057528,COMPLETE
63,0.8340866290018832,2025-12-06 16:11:59.584158,2025-12-06 16:12:00.822503,0 days 00:00:01.238345,0.5000477191558315,0.2663915795683505,3,128,0.9842209021486927,COMPLETE
64,0.827306967984934,2025-12-06 16:12:00.822602,2025-12-06 16:12:01.935661,0 days 00:00:01.113059,0.5261859887839682,0.23053293642720962,3,118,0.9867349150408596,COMPLETE
65,0.8228625235404897,2025-12-06 16:12:01.935745,2025-12-06 16:12:03.364637,0 days 00:00:01.428892,0.5028245740399755,0.21571804180379694,4,130,0.9555671189160929,COMPLETE
66,0.8262335216572505,2025-12-06 16:12:03.364736,2025-12-06 16:12:04.402831,0 days 00:00:01.038095,0.5461873585658645,0.26732939180872034,3,108,0.9341886343668925,COMPLETE
67,0.8138041431261771,2025-12-06 16:12:04.402935,2025-12-06 16:12:05.979306,0 days 00:00:01.576371,0.6333073885713085,0.2852499969045362,9,79,0.9981881788783499,COMPLETE
68,0.8273258003766478,2025-12-06 16:12:05.979402,2025-12-06 16:12:07.283603,0 days 00:00:01.304201,0.5763303481669391,0.20117060827706373,3,156,0.7780232300805733,COMPLETE
69,0.8307532956685498,2025-12-06 16:12:07.283702,2025-12-06 16:12:09.170893,0 days 00:00:01.887191,0.5588915586146813,0.14522956357494968,4,196,0.8905972779911266,COMPLETE
70,0.8284180790960451,2025-12-06 16:12:09.171013,2025-12-06 16:12:10.840420,0 days 00:00:01.669407,0.5220553625324226,0.12625927316809607,3,207,0.9679300735454545,COMPLETE
71,0.8273446327683617,2025-12-06 16:12:10.840492,2025-12-06 16:12:12.049938,0 days 00:00:01.209446,0.9749038327473978,0.2613612975712134,3,129,0.9835040337400357,COMPLETE
72,0.8194538606403013,2025-12-06 16:12:12.050039,2025-12-06 16:12:13.407554,0 days 00:00:01.357515,0.9509096498771273,0.2896869543238366,3,142,0.9171318660286825,COMPLETE
73,0.8283804143126176,2025-12-06 16:12:13.407650,2025-12-06 16:12:14.879086,0 days 00:00:01.471436,0.6050266047963034,0.2514781980531883,3,162,0.9492393791682291,COMPLETE
74,0.8262146892655369,2025-12-06 16:12:14.879186,2025-12-06 16:12:16.353115,0 days 00:00:01.473929,0.9169864863234514,0.1690669447595235,3,136,0.9296604855374925,COMPLETE
75,0.8216949152542373,2025-12-06 16:12:16.353217,2025-12-06 16:12:18.063512,0 days 00:00:01.710295,0.943510620046685,0.1541280401022683,4,151,0.9627641652915653,COMPLETE
76,0.8284557438794727,2025-12-06 16:12:18.063622,2025-12-06 16:12:19.524741,0 days 00:00:01.461119,0.9966216221080577,0.18456271773228042,3,160,0.9843061587032865,COMPLETE
77,0.8262335216572505,2025-12-06 16:12:19.524858,2025-12-06 16:12:20.691671,0 days 00:00:01.166813,0.8970197292706676,0.24066014072126032,3,123,0.9718902752499077,COMPLETE
78,0.809322033898305,2025-12-06 16:12:20.691776,2025-12-06 16:12:22.542464,0 days 00:00:01.850688,0.5466179635878307,0.28261528785751916,4,190,0.9098902518858998,COMPLETE
79,0.8295668549905838,2025-12-06 16:12:22.542561,2025-12-06 16:12:23.689016,0 days 00:00:01.146455,0.6222493008750987,0.2717644998950368,3,110,0.9437324337598226,COMPLETE
80,0.8205461393596989,2025-12-06 16:12:23.689130,2025-12-06 16:12:25.532909,0 days 00:00:01.843779,0.9619148850962338,0.16069894188977638,8,98,0.9897195729182873,COMPLETE
81,0.8250847457627118,2025-12-06 16:12:25.533006,2025-12-06 16:12:27.316571,0 days 00:00:01.783565,0.9197102698365285,0.14063204600142623,3,204,0.9983182893059974,COMPLETE
