number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,state
46,0.8282297551789078,2025-11-22 18:49:16.853178,2025-11-22 18:49:23.200727,0 days 00:00:06.347549,0.06875011245669507,4,363,62,COMPLETE
47,0.822617702448211,2025-11-22 18:49:23.200841,2025-11-22 18:49:41.250235,0 days 00:00:18.049394,0.02733376540007213,8,466,163,COMPLETE
48,0.8248399246704332,2025-11-22 18:49:41.250350,2025-11-22 18:49:47.963299,0 days 00:00:06.712949,0.03786639836072021,5,275,96,COMPLETE
49,0.8181167608286253,2025-11-22 18:49:47.963414,2025-11-22 18:50:09.418780,0 days 00:00:21.455366,0.04872694775558709,7,676,44,COMPLETE
50,0.8170809792843692,2025-11-22 18:50:09.418895,2025-11-22 18:50:12.629982,0 days 00:00:03.211087,0.010624481485610637,3,206,190,COMPLETE
51,0.8260075329566856,2025-11-22 18:50:12.630058,2025-11-22 18:50:21.322767,0 days 00:00:08.692709,0.03167321419947618,6,283,40,COMPLETE
52,0.8293596986817326,2025-11-22 18:50:21.322880,2025-11-22 18:50:28.914633,0 days 00:00:07.591753,0.0353332948397853,6,241,59,COMPLETE
53,0.8304708097928437,2025-11-22 18:50:28.914747,2025-11-22 18:50:36.791494,0 days 00:00:07.876747,0.027442581985358764,5,400,29,COMPLETE
54,0.8304896421845576,2025-11-22 18:50:36.791596,2025-11-22 18:50:44.148068,0 days 00:00:07.356472,0.0273719274502595,5,404,39,COMPLETE
55,0.8338606403013183,2025-11-22 18:50:44.148185,2025-11-22 18:50:49.848878,0 days 00:00:05.700693,0.02530129018222429,4,408,26,COMPLETE
56,0.8214689265536724,2025-11-22 18:50:49.848953,2025-11-22 18:50:56.518526,0 days 00:00:06.669573,0.08701307815086515,4,513,24,COMPLETE
57,0.8259133709981169,2025-11-22 18:50:56.518634,2025-11-22 18:51:03.913255,0 days 00:00:07.394621,0.07710122796215393,4,544,41,COMPLETE
58,0.8304331450094161,2025-11-22 18:51:03.913346,2025-11-22 18:51:08.231627,0 days 00:00:04.318281,0.019486311443892325,3,439,33,COMPLETE
59,0.8192655367231639,2025-11-22 18:51:08.231752,2025-11-22 18:51:19.923550,0 days 00:00:11.691798,0.051155149868900476,7,470,193,COMPLETE
60,0.8091525423728814,2025-11-22 18:51:19.923667,2025-11-22 18:51:35.083905,0 days 00:00:15.160238,0.06072444796495101,12,386,68,COMPLETE
61,0.8260075329566856,2025-11-22 18:51:35.084023,2025-11-22 18:51:42.504463,0 days 00:00:07.420440,0.026249177279396876,5,408,30,COMPLETE
62,0.8293596986817326,2025-11-22 18:51:42.504582,2025-11-22 18:51:48.853985,0 days 00:00:06.349403,0.029563492748984913,5,345,25,COMPLETE
63,0.8225988700564971,2025-11-22 18:51:48.854103,2025-11-22 18:51:55.918025,0 days 00:00:07.063922,0.024692523678325737,4,406,36,COMPLETE
64,0.828210922787194,2025-11-22 18:51:55.918200,2025-11-22 18:52:17.784872,0 days 00:00:21.866672,0.01509687353596072,6,433,48,COMPLETE
65,0.8158757062146893,2025-11-22 18:52:17.784982,2025-11-22 18:52:35.817877,0 days 00:00:18.032895,0.03891416386412446,11,324,20,COMPLETE
66,0.8259510357815443,2025-11-22 18:52:35.818006,2025-11-22 18:52:42.382577,0 days 00:00:06.564571,0.020454174005451384,5,132,180,COMPLETE
67,0.8282297551789077,2025-11-22 18:52:42.382703,2025-11-22 18:52:57.752572,0 days 00:00:15.369869,0.030126355157013528,4,373,36,COMPLETE
68,0.8125047080979286,2025-11-22 18:52:57.752724,2025-11-22 18:53:17.780326,0 days 00:00:20.027602,0.16054573300439529,5,474,26,COMPLETE
69,0.8181167608286252,2025-11-22 18:53:17.780440,2025-11-22 18:53:30.636964,0 days 00:00:12.856524,0.11430907722978392,7,300,51,COMPLETE
70,0.8305084745762713,2025-11-22 18:53:30.637121,2025-11-22 18:53:47.856379,0 days 00:00:17.219258,0.017198322568218433,6,575,76,COMPLETE
71,0.8237664783427496,2025-11-22 18:53:47.856503,2025-11-22 18:54:09.566250,0 days 00:00:21.709747,0.018261697633637615,6,595,77,COMPLETE
72,0.8282297551789077,2025-11-22 18:54:09.566382,2025-11-22 18:54:26.536910,0 days 00:00:16.970528,0.016507897368504738,5,650,30,COMPLETE
73,0.8248210922787196,2025-11-22 18:54:26.537141,2025-11-22 18:54:47.752406,0 days 00:00:21.215265,0.024952092166050956,7,550,56,COMPLETE
74,0.8293596986817326,2025-11-22 18:54:47.752485,2025-11-22 18:54:52.268814,0 days 00:00:04.516329,0.0658933426688773,5,182,38,COMPLETE
75,0.8225988700564971,2025-11-22 18:54:52.268890,2025-11-22 18:55:04.455144,0 days 00:00:12.186254,0.09410822999549026,6,404,149,COMPLETE
76,0.8125800376647834,2025-11-22 18:55:04.455259,2025-11-22 18:55:17.900581,0 days 00:00:13.445322,0.07286228518192003,6,491,44,COMPLETE
77,0.829340866290019,2025-11-22 18:55:17.900659,2025-11-22 18:55:25.176168,0 days 00:00:07.275509,0.012903936597103809,4,349,90,COMPLETE
78,0.8215254237288137,2025-11-22 18:55:25.176288,2025-11-22 18:55:51.882701,0 days 00:00:26.706413,0.02107825458729836,8,721,63,COMPLETE
79,0.8247834274952919,2025-11-22 18:55:51.882806,2025-11-22 18:55:54.920714,0 days 00:00:03.037908,0.13196248658841486,5,143,72,COMPLETE
80,0.8215065913370999,2025-11-22 18:55:54.920795,2025-11-22 18:56:05.156000,0 days 00:00:10.235205,0.05736540410435115,6,424,174,COMPLETE
81,0.8281920903954804,2025-11-22 18:56:05.156112,2025-11-22 18:56:12.914393,0 days 00:00:07.758281,0.02239979753104965,5,229,117,COMPLETE
82,0.828210922787194,2025-11-22 18:56:12.914515,2025-11-22 18:56:20.836030,0 days 00:00:07.921515,0.017269019099217905,5,200,135,COMPLETE
83,0.831581920903955,2025-11-22 18:56:20.836153,2025-11-22 18:56:27.640183,0 days 00:00:06.804030,0.014898811055004539,4,253,126,COMPLETE
84,0.815894538606403,2025-11-22 18:56:27.640298,2025-11-22 18:56:33.021547,0 days 00:00:05.381249,0.01463515197238523,3,308,104,COMPLETE
85,0.8271186440677967,2025-11-22 18:56:33.021650,2025-11-22 18:56:39.353845,0 days 00:00:06.332195,0.028463207755339493,4,256,193,COMPLETE
86,0.8315819209039549,2025-11-22 18:56:39.354017,2025-11-22 18:56:43.986264,0 days 00:00:04.632247,0.01584629523211216,4,156,126,COMPLETE
87,0.814858757062147,2025-11-22 18:56:43.986338,2025-11-22 18:56:47.230125,0 days 00:00:03.243787,0.011654733133262905,3,151,126,COMPLETE
88,0.8315819209039549,2025-11-22 18:56:47.230238,2025-11-22 18:56:50.888259,0 days 00:00:03.658021,0.015184428561971797,4,121,110,COMPLETE
89,0.8282297551789077,2025-11-22 18:56:50.888381,2025-11-22 18:56:54.673236,0 days 00:00:03.784855,0.01380483575547187,4,122,110,COMPLETE
90,0.831563088512241,2025-11-22 18:56:54.673436,2025-11-22 18:56:58.462879,0 days 00:00:03.789443,0.015222551796726545,4,118,143,COMPLETE
91,0.8327118644067796,2025-11-22 18:56:58.463001,2025-11-22 18:57:03.167083,0 days 00:00:04.704082,0.015738568460918933,4,164,129,COMPLETE
92,0.823728813559322,2025-11-22 18:57:03.167182,2025-11-22 18:57:06.884445,0 days 00:00:03.717263,0.011481956381209373,4,119,139,COMPLETE
93,0.8114877589453859,2025-11-22 18:57:06.884585,2025-11-22 18:57:09.023026,0 days 00:00:02.138441,0.013641108153281666,3,100,128,COMPLETE
94,0.8282485875706215,2025-11-22 18:57:09.023150,2025-11-22 18:57:14.071583,0 days 00:00:05.048433,0.01558680909512129,4,180,121,COMPLETE
95,0.8304708097928438,2025-11-22 18:57:14.071731,2025-11-22 18:57:18.933537,0 days 00:00:04.861806,0.01009970838975792,4,164,143,COMPLETE
96,0.8182297551789078,2025-11-22 18:57:18.933649,2025-11-22 18:57:21.956348,0 days 00:00:03.022699,0.015485120417443732,3,159,109,COMPLETE
97,0.829340866290019,2025-11-22 18:57:21.956476,2025-11-22 18:58:11.797522,0 days 00:00:49.841046,0.019193776907640882,4,212,155,COMPLETE
98,0.8338229755178908,2025-11-22 18:58:11.797641,2025-11-22 18:58:16.091172,0 days 00:00:04.293531,0.01246147847206769,4,190,133,COMPLETE
99,0.8159698681732581,2025-11-22 18:58:16.091265,2025-11-22 18:58:18.945122,0 days 00:00:02.853857,0.01225712691006241,3,201,99,COMPLETE
