number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
138,0.830734463276836,2025-12-06 16:05:35.252205,2025-12-06 16:05:56.568426,0 days 00:00:21.316221,19,,2,17,281,COMPLETE
139,0.8318644067796609,2025-12-06 16:05:56.568487,2025-12-06 16:06:17.409275,0 days 00:00:20.840788,18,,1,16,266,COMPLETE
140,0.8116195856873822,2025-12-06 16:06:17.409338,2025-12-06 16:06:26.758510,0 days 00:00:09.349172,19,log2,10,15,234,COMPLETE
141,0.835216572504708,2025-12-06 16:06:26.758564,2025-12-06 16:06:49.247318,0 days 00:00:22.488754,20,,1,15,286,COMPLETE
142,0.835216572504708,2025-12-06 16:06:49.247373,2025-12-06 16:07:11.701197,0 days 00:00:22.453824,20,,1,15,286,COMPLETE
143,0.8329943502824858,2025-12-06 16:07:11.701254,2025-12-06 16:07:34.079187,0 days 00:00:22.377933,20,,1,16,286,COMPLETE
144,0.8329943502824858,2025-12-06 16:07:34.079256,2025-12-06 16:07:55.689930,0 days 00:00:21.610674,20,,1,15,275,COMPLETE
145,0.8251412429378531,2025-12-06 16:07:55.689985,2025-12-06 16:08:15.870540,0 days 00:00:20.180555,19,,5,15,282,COMPLETE
146,0.8340866290018831,2025-12-06 16:08:15.870603,2025-12-06 16:08:39.081327,0 days 00:00:23.210724,19,,1,14,296,COMPLETE
147,0.835216572504708,2025-12-06 16:08:39.081394,2025-12-06 16:09:01.604731,0 days 00:00:22.523337,20,,1,15,286,COMPLETE
148,0.8273822975517892,2025-12-06 16:09:01.604786,2025-12-06 16:09:20.093665,0 days 00:00:18.488879,17,,8,14,270,COMPLETE
149,0.8329943502824858,2025-12-06 16:09:20.093719,2025-12-06 16:09:42.544622,0 days 00:00:22.450903,20,,1,16,286,COMPLETE
